tick,agent_id,is_activated,rank
9,10000020,False,0
9,10000021,False,0
9,10000022,False,0
9,10000023,False,0
9,10000024,False,0
9,10000025,False,0
9,10000026,False,0
9,10000027,False,0
9,10000028,False,0
9,10000029,False,0
9,10000030,False,0
9,10000031,False,0
9,10000032,False,0
9,10000033,False,0
9,10000034,False,0
9,10000035,False,0
10,10000020,False,0
10,10000021,False,0
10,10000022,False,0
10,10000023,False,0
10,10000024,False,0
10,10000025,False,0
10,10000026,False,0
10,10000027,False,0
10,10000028,False,0
10,10000029,False,0
10,10000030,False,0
10,10000031,False,0
10,10000032,False,0
10,10000033,False,0
10,10000034,False,0
10,10000035,False,0
11,10000020,False,0
11,10000021,False,0
11,10000022,False,0
11,10000023,False,0
11,10000024,False,0
11,10000025,False,0
11,10000026,False,0
11,10000027,False,0
11,10000028,False,0
11,10000029,False,0
11,10000030,False,0
11,10000031,False,0
11,10000032,False,0
11,10000033,False,0
11,10000034,False,0
11,10000035,False,0
12,10000020,False,0
12,10000021,False,0
12,10000022,False,0
12,10000023,False,0
12,10000024,False,0
12,10000025,False,0
12,10000026,False,0
12,10000027,False,0
12,10000028,False,0
12,10000029,False,0
12,10000030,False,0
12,10000031,False,0
12,10000032,False,0
12,10000033,False,0
12,10000034,False,0
12,10000035,False,0
13,10000020,False,0
13,10000021,False,0
13,10000022,False,0
13,10000023,False,0
13,10000024,False,0
13,10000025,False,0
13,10000026,False,0
13,10000027,False,0
13,10000028,False,0
13,10000029,False,0
13,10000030,False,0
13,10000031,False,0
13,10000032,False,0
13,10000033,False,0
13,10000034,False,0
13,10000035,False,0
14,10000020,False,0
14,10000021,False,0
14,10000022,False,0
14,10000023,False,0
14,10000024,False,0
14,10000025,False,0
14,10000026,False,0
14,10000027,False,0
14,10000028,False,0
14,10000029,False,0
14,10000030,False,0
14,10000031,False,0
14,10000032,False,0
14,10000033,False,0
14,10000034,False,0
14,10000035,False,0
15,10000020,False,0
15,10000021,False,0
15,10000022,False,0
15,10000023,False,0
15,10000024,False,0
15,10000025,False,0
15,10000026,False,0
15,10000027,False,0
15,10000028,False,0
15,10000029,False,0
15,10000030,False,0
15,10000031,False,0
15,10000032,False,0
15,10000033,False,0
15,10000034,False,0
15,10000035,False,0
16,10000020,False,0
16,10000021,False,0
16,10000022,False,0
16,10000023,False,0
16,10000024,False,0
16,10000025,False,0
16,10000026,False,0
16,10000027,False,0
16,10000028,False,0
16,10000029,False,0
16,10000030,False,0
16,10000031,False,0
16,10000032,False,0
16,10000033,False,0
16,10000034,False,0
16,10000035,False,0
17,10000020,False,0
17,10000021,False,0
17,10000022,False,0
17,10000023,False,0
17,10000024,False,0
17,10000025,False,0
17,10000026,False,0
17,10000027,False,0
17,10000028,False,0
17,10000029,False,0
17,10000030,False,0
17,10000031,False,0
17,10000032,False,0
17,10000033,False,0
17,10000034,False,0
17,10000035,False,0
18,10000020,False,0
18,10000021,False,0
18,10000022,False,0
18,10000023,False,0
18,10000024,False,0
18,10000025,False,0
18,10000026,False,0
18,10000027,False,0
18,10000028,False,0
18,10000029,False,0
18,10000030,False,0
18,10000031,False,0
18,10000032,False,0
18,10000033,False,0
18,10000034,False,0
18,10000035,False,0
19,10000020,False,0
19,10000021,False,0
19,10000022,False,0
19,10000023,False,0
19,10000024,False,0
19,10000025,False,0
19,10000026,False,0
19,10000027,False,0
19,10000028,False,0
19,10000029,False,0
19,10000030,False,0
19,10000031,False,0
19,10000032,False,0
19,10000033,False,0
19,10000034,False,0
19,10000035,False,0
20,10000020,False,0
20,10000021,False,0
20,10000022,False,0
20,10000023,False,0
20,10000024,False,0
20,10000025,False,0
20,10000026,False,0
20,10000027,False,0
20,10000028,False,0
20,10000029,False,0
20,10000030,False,0
20,10000031,False,0
20,10000032,False,0
20,10000033,False,0
20,10000034,False,0
20,10000035,False,0
21,10000020,False,0
21,10000021,False,0
21,10000022,False,0
21,10000023,False,0
21,10000024,False,0
21,10000025,False,0
21,10000026,False,0
21,10000027,False,0
21,10000028,False,0
21,10000029,False,0
21,10000030,False,0
21,10000031,False,0
21,10000032,False,0
21,10000033,False,0
21,10000034,False,0
21,10000035,False,0
22,10000020,False,0
22,10000021,False,0
22,10000022,False,0
22,10000023,False,0
22,10000024,False,0
22,10000025,False,0
22,10000026,False,0
22,10000027,False,0
22,10000028,False,0
22,10000029,False,0
22,10000030,False,0
22,10000031,False,0
22,10000032,False,0
22,10000033,False,0
22,10000034,False,0
22,10000035,False,0
23,10000020,False,0
23,10000021,False,0
23,10000022,False,0
23,10000023,False,0
23,10000024,False,0
23,10000025,False,0
23,10000026,False,0
23,10000027,False,0
23,10000028,False,0
23,10000029,False,0
23,10000030,False,0
23,10000031,False,0
23,10000032,False,0
23,10000033,False,0
23,10000034,False,0
23,10000035,False,0
24,10000020,False,0
24,10000021,False,0
24,10000022,False,0
24,10000023,False,0
24,10000024,False,0
24,10000025,False,0
24,10000026,False,0
24,10000027,False,0
24,10000028,False,0
24,10000029,False,0
24,10000030,False,0
24,10000031,False,0
24,10000032,False,0
24,10000033,False,0
24,10000034,False,0
24,10000035,False,0
25,10000020,False,0
25,10000021,False,0
25,10000022,False,0
25,10000023,False,0
25,10000024,False,0
25,10000025,False,0
25,10000026,False,0
