tick,agent_id,agent_type,x,y,rank
1,30000036,4,30,0,2
1,30000037,4,30,14,2
1,30000038,4,31,9,2
1,30000039,4,25,17,2
1,30000040,4,26,16,2
1,30000041,4,28,7,2
1,30000042,4,33,19,2
1,30000043,4,22,15,2
1,30000044,4,35,8,2
1,30000045,4,27,3,2
1,30000046,4,39,3,2
1,30000047,4,29,3,2
1,30000048,4,35,12,2
1,30000049,4,23,2,2
1,30000050,4,21,0,2
1,30000051,4,37,16,2
1,30000052,4,27,1,2
1,30000053,4,25,9,2
1,30000054,4,30,9,2
1,30000055,4,32,12,2
1,30000056,4,32,10,2
1,30000057,4,28,18,2
1,30000058,4,36,15,2
1,30000059,4,21,11,2
1,30000060,4,37,12,2
1,30000061,4,23,10,2
1,30000062,4,30,19,2
1,30000063,4,30,4,2
1,30000064,4,22,13,2
1,30000065,4,39,11,2
1,30000066,4,35,5,2
1,30000067,4,29,18,2
1,30000068,4,25,15,2
1,30000069,4,20,5,2
1,30000070,4,29,0,2
1,30000071,4,32,16,2
1,30000072,4,30,2,2
1,30000073,4,36,1,2
1,30000074,4,27,8,2
1,30000075,4,25,6,2
1,30000076,4,24,0,2
1,30000077,4,34,7,2
1,30000078,4,39,7,2
1,30000079,4,32,0,2
1,30000080,4,37,2,2
1,30000081,4,35,6,2
1,30000082,4,25,12,2
1,30000083,4,33,18,2
1,30000084,4,29,19,2
1,30000085,4,25,1,2
1,30000086,4,33,4,2
1,30000087,4,39,15,2
1,40000000,0,21,23,3
1,40000001,0,23,36,3
1,40000002,0,31,20,3
1,40000003,0,26,28,3
1,40000004,0,29,25,3
1,40000005,0,33,34,3
1,40000006,0,22,29,3
1,40000007,0,37,30,3
1,40000008,0,28,33,3
1,40000009,0,23,34,3
1,40000010,0,39,35,3
1,40000011,0,26,32,3
1,40000012,0,33,37,3
1,40000013,0,38,20,3
1,40000014,0,39,38,3
1,40000015,0,22,26,3
1,40000016,0,37,33,3
1,40000017,0,24,29,3
1,40000018,0,35,29,3
1,40000019,0,25,34,3
1,40000020,3,30,27,3
1,40000021,3,25,21,3
1,40000022,3,32,33,3
1,40000023,3,30,38,3
1,40000024,3,38,24,3
1,40000025,3,32,32,3
1,40000026,3,24,25,3
1,40000027,3,29,34,3
1,40000028,3,33,24,3
1,40000029,3,27,36,3
1,40000030,3,36,33,3
1,40000031,3,20,33,3
1,40000032,3,24,36,3
1,40000033,3,38,28,3
1,40000034,3,26,37,3
1,40000035,3,27,22,3
1,40000036,4,31,36,3
1,40000037,4,33,27,3
1,40000038,4,38,29,3
1,40000039,4,24,33,3
1,40000040,4,35,25,3
1,40000041,4,32,37,3
1,40000042,4,22,25,3
1,40000043,4,30,31,3
1,40000044,4,27,27,3
1,40000045,4,22,32,3
1,40000046,4,38,23,3
1,40000047,4,35,23,3
1,40000048,4,20,34,3
1,40000049,4,23,35,3
1,40000050,4,26,31,3
1,40000051,4,38,38,3
1,40000052,4,29,24,3
1,40000053,4,25,37,3
1,40000054,4,31,23,3
1,40000055,4,37,39,3
1,40000056,4,39,32,3
1,40000057,4,30,39,3
1,40000058,4,32,35,3
1,40000059,4,26,35,3
1,40000060,4,39,21,3
1,40000061,4,21,21,3
1,40000062,4,25,23,3
1,40000063,4,34,24,3
1,40000064,4,29,22,3
1,40000065,4,21,25,3
1,40000066,4,28,29,3
1,40000067,4,26,36,3
1,40000068,4,31,39,3
1,40000069,4,38,34,3
1,40000070,4,20,24,3
1,40000071,4,34,30,3
1,40000072,4,36,21,3
1,40000073,4,25,33,3
1,40000074,4,32,27,3
1,40000075,4,23,31,3
1,40000076,4,21,33,3
1,40000077,4,21,30,3
1,40000078,4,33,23,3
1,40000079,4,20,29,3
1,40000080,4,32,22,3
