tick,x,y,rank,agent_type
8,0,2,0,0
8,13,10,0,0
8,5,12,0,0
8,7,9,0,0
8,16,19,0,0
8,13,19,0,0
8,14,7,0,0
8,17,2,0,3
8,11,14,0,3
8,16,10,0,3
8,7,6,0,3
8,8,9,0,3
8,14,17,0,3
8,1,18,0,3
8,10,7,0,3
8,13,11,0,3
8,5,6,0,3
8,14,11,0,3
8,10,6,0,3
8,15,7,0,3
8,6,17,0,3
8,5,4,0,3
8,14,12,0,3
8,0,1,0,4
8,7,16,0,4
8,8,15,0,4
8,6,4,0,4
8,15,17,0,4
8,1,1,0,4
8,13,6,0,4
8,11,3,0,4
8,17,9,0,4
8,17,15,0,4
8,14,4,0,4
8,15,1,0,4
8,11,8,0,4
8,19,3,0,4
8,18,1,0,4
8,12,11,0,4
8,17,5,0,4
8,18,13,0,4
8,17,3,0,4
8,15,18,0,4
8,0,7,0,4
8,12,2,0,4
8,10,12,0,4
8,9,19,0,4
8,3,9,0,4
8,0,8,0,4
8,18,12,0,4
8,6,19,0,4
8,0,9,0,4
8,16,15,0,4
8,8,10,0,4
8,4,15,0,4
8,1,8,0,4
8,5,14,0,4
8,14,14,0,4
8,18,18,0,4
8,3,2,0,4
8,2,14,0,4
8,19,18,0,4
8,2,17,0,4
8,1,19,0,4
8,7,2,0,4
8,10,19,0,4
8,4,9,0,4
8,17,16,0,4
8,2,18,0,4
8,19,5,0,4
8,13,8,0,4
8,13,0,0,4
8,16,14,0,4
8,3,12,0,4
8,10,0,0,4
9,12,10,0,0
9,6,0,0,0
9,0,3,0,0
9,12,18,0,0
9,12,19,0,0
9,11,18,0,0
9,16,13,0,0
9,7,17,0,0
9,0,15,0,0
9,16,3,0,0
9,17,0,0,0
9,1,5,0,0
9,8,8,0,0
9,0,2,0,0
9,13,10,0,0
9,5,12,0,0
9,7,9,0,0
9,16,19,0,0
9,13,19,0,0
9,14,7,0,0
9,17,2,0,3
9,11,14,0,3
9,16,10,0,3
9,7,6,0,3
9,8,9,0,3
9,14,17,0,3
9,1,18,0,3
9,10,7,0,3
9,13,11,0,3
9,5,6,0,3
9,14,11,0,3
9,10,6,0,3
9,15,7,0,3
9,6,17,0,3
9,5,4,0,3
9,14,12,0,3
9,0,1,0,4
9,7,16,0,4
9,8,15,0,4
9,6,4,0,4
9,15,17,0,4
9,1,1,0,4
9,13,6,0,4
9,11,3,0,4
9,17,9,0,4
9,17,15,0,4
9,14,4,0,4
9,15,1,0,4
9,11,8,0,4
9,19,3,0,4
9,18,1,0,4
9,12,11,0,4
9,17,5,0,4
9,18,13,0,4
9,17,3,0,4
9,15,18,0,4
9,0,7,0,4
9,12,2,0,4
9,10,12,0,4
9,9,19,0,4
9,3,9,0,4
9,0,8,0,4
9,18,12,0,4
9,6,19,0,4
9,0,9,0,4
9,16,15,0,4
9,8,10,0,4
9,4,15,0,4
9,1,8,0,4
9,5,14,0,4
9,14,14,0,4
9,18,18,0,4
9,3,2,0,4
9,2,14,0,4
9,19,18,0,4
9,2,17,0,4
9,1,19,0,4
9,7,2,0,4
9,10,19,0,4
9,4,9,0,4
9,17,16,0,4
9,2,18,0,4
9,19,5,0,4
9,13,8,0,4
9,13,0,0,4
9,16,14,0,4
9,3,12,0,4
9,10,0,0,4
10,12,10,0,0
10,6,0,0,0
10,0,3,0,0
10,12,18,0,0
10,12,19,0,0
10,11,18,0,0
10,16,13,0,0
10,7,17,0,0
10,0,15,0,0
10,16,3,0,0
10,17,0,0,0
10,1,5,0,0
10,8,8,0,0
10,0,2,0,0
10,13,10,0,0
10,5,12,0,0
10,7,9,0,0
10,16,19,0,0
10,13,19,0,0
10,14,7,0,0
10,17,2,0,3
10,11,14,0,3
10,16,10,0,3
10,7,6,0,3
10,8,9,0,3
10,14,17,0,3
10,1,18,0,3
10,10,7,0,3
10,13,11,0,3
