tick,agent_id,agent_type,x,y,rank
5,6,4,13,6,0
5,7,4,11,3,0
5,8,4,17,9,0
5,9,4,17,15,0
5,10,4,14,4,0
5,11,4,15,1,0
5,12,4,11,8,0
5,13,4,19,3,0
5,14,4,18,1,0
5,15,4,12,11,0
5,16,4,17,5,0
5,17,4,18,13,0
5,18,4,17,3,0
5,19,4,15,18,0
5,20,4,0,7,0
5,21,4,12,2,0
5,22,4,10,12,0
5,23,4,9,19,0
5,24,4,3,9,0
5,25,4,0,8,0
5,26,4,18,12,0
5,27,4,6,19,0
5,28,4,0,9,0
5,29,4,16,15,0
5,30,4,8,10,0
5,31,4,4,15,0
5,32,4,1,8,0
5,33,4,5,14,0
5,34,4,14,14,0
5,35,4,18,18,0
5,36,4,3,2,0
5,37,4,2,14,0
5,38,4,19,18,0
5,39,4,2,17,0
5,40,4,1,19,0
5,41,4,7,2,0
5,42,4,10,19,0
5,43,4,4,9,0
5,44,4,17,16,0
5,45,4,2,18,0
5,46,4,19,5,0
5,47,4,13,8,0
5,48,4,13,0,0
5,49,4,16,14,0
5,50,4,3,12,0
5,51,4,10,0,0
6,0,0,12,10,0
6,1,0,6,0,0
6,2,0,0,3,0
6,3,0,12,18,0
6,4,0,12,19,0
6,5,0,11,18,0
6,6,0,16,13,0
6,7,0,7,17,0
6,8,0,0,15,0
6,9,0,16,3,0
6,10,0,17,0,0
6,11,0,1,5,0
6,12,0,8,8,0
6,13,0,0,2,0
6,14,0,13,10,0
6,15,0,5,12,0
6,16,0,7,9,0
6,17,0,16,19,0
6,18,0,13,19,0
6,19,0,14,7,0
6,0,3,17,2,0
6,1,3,11,14,0
6,2,3,16,10,0
6,3,3,7,6,0
6,4,3,8,9,0
6,5,3,14,17,0
6,6,3,1,18,0
6,7,3,10,7,0
6,8,3,13,11,0
6,9,3,5,6,0
6,10,3,14,11,0
6,11,3,10,6,0
6,12,3,15,7,0
6,13,3,6,17,0
6,14,3,5,4,0
6,15,3,14,12,0
6,0,4,0,1,0
6,1,4,7,16,0
6,2,4,8,15,0
6,3,4,6,4,0
6,4,4,15,17,0
6,5,4,1,1,0
6,6,4,13,6,0
6,7,4,11,3,0
6,8,4,17,9,0
6,9,4,17,15,0
6,10,4,14,4,0
6,11,4,15,1,0
6,12,4,11,8,0
6,13,4,19,3,0
6,14,4,18,1,0
6,15,4,12,11,0
6,16,4,17,5,0
6,17,4,18,13,0
6,18,4,17,3,0
6,19,4,15,18,0
6,20,4,0,7,0
6,21,4,12,2,0
6,22,4,10,12,0
6,23,4,9,19,0
6,24,4,3,9,0
6,25,4,0,8,0
6,26,4,18,12,0
6,27,4,6,19,0
6,28,4,0,9,0
6,29,4,16,15,0
6,30,4,8,10,0
6,31,4,4,15,0
6,32,4,1,8,0
6,33,4,5,14,0
6,34,4,14,14,0
6,35,4,18,18,0
6,36,4,3,2,0
6,37,4,2,14,0
6,38,4,19,18,0
6,39,4,2,17,0
6,40,4,1,19,0
6,41,4,7,2,0
6,42,4,10,19,0
6,43,4,4,9,0
6,44,4,17,16,0
6,45,4,2,18,0
6,46,4,19,5,0
6,47,4,13,8,0
6,48,4,13,0,0
6,49,4,16,14,0
6,50,4,3,12,0
6,51,4,10,0,0
7,0,0,12,10,0
7,1,0,6,0,0
7,2,0,0,3,0
7,3,0,12,18,0
7,4,0,12,19,0
7,5,0,11,18,0
7,6,0,16,13,0
7,7,0,7,17,0
7,8,0,0,15,0
7,9,0,16,3,0
7,10,0,17,0,0
7,11,0,1,5,0
7,12,0,8,8,0
7,13,0,0,2,0
7,14,0,13,10,0
7,15,0,5,12,0
7,16,0,7,9,0
7,17,0,16,19,0
7,18,0,13,19,0
7,19,0,14,7,0
7,0,3,17,2,0
7,1,3,11,14,0
7,2,3,16,10,0
7,3,3,7,6,0
7,4,3,8,9,0
7,5,3,14,17,0
7,6,3,1,18,0
7,7,3,10,7,0
7,8,3,13,11,0
7,9,3,5,6,0
7,10,3,14,11,0
7,11,3,10,6,0
7,12,3,15,7,0
7,13,3,6,17,0
7,14,3,5,4,0
7,15,3,14,12,0
7,0,4,0,1,0
7,1,4,7,16,0
7,2,4,8,15,0
7,3,4,6,4,0
7,4,4,15,17,0
7,5,4,1,1,0
7,6,4,13,6,0
7,7,4,11,3,0
7,8,4,17,9,0
7,9,4,17,15,0
7,10,4,14,4,0
7,11,4,15,1,0
7,12,4,11,8,0
7,13,4,19,3,0
7,14,4,18,1,0
7,15,4,12,11,0
7,16,4,17,5,0
7,17,4,18,13,0
7,18,4,17,3,0
7,19,4,15,18,0
7,20,4,0,7,0
7,21,4,12,2,0
7,22,4,10,12,0
7,23,4,9,19,0
7,24,4,3,9,0
7,25,4,0,8,0
7,26,4,18,12,0
7,27,4,6,19,0
7,28,4,0,9,0
7,29,4,16,15,0
7,30,4,8,10,0
7,31,4,4,15,0
7,32,4,1,8,0
7,33,4,5,14,0
7,34,4,14,14,0
7,35,4,18,18,0
7,36,4,3,2,0
7,37,4,2,14,0
7,38,4,19,18,0
7,39,4,2,17,0
7,40,4,1,19,0
7,41,4,7,2,0
7,42,4,10,19,0
7,43,4,4,9,0
7,44,4,17,16,0
7,45,4,2,18,0
7,46,4,19,5,0
7,47,4,13,8,0
7,48,4,13,0,0
7,49,4,16,14,0
7,50,4,3,12,0
7,51,4,10,0,0
8,0,0,12,10,0
8,1,0,6,0,0
8,2,0,0,3,0
8,3,0,12,18,0
8,4,0,12,19,0
8,5,0,11,18,0
8,6,0,16,13,0
8,7,0,7,17,0
8,8,0,0,15,0
8,9,0,16,3,0
8,10,0,17,0,0
8,11,0,1,5,0
8,12,0,8,8,0
8,13,0,0,2,0
8,14,0,13,10,0
8,15,0,5,12,0
8,16,0,7,9,0
8,17,0,16,19,0
8,18,0,13,19,0
8,19,0,14,7,0
8,0,3,17,2,0
8,1,3,11,14,0
8,2,3,16,10,0
8,3,3,7,6,0
8,4,3,8,9,0
8,5,3,14,17,0
8,6,3,1,18,0
8,7,3,10,7,0
8,8,3,13,11,0
8,9,3,5,6,0
8,10,3,14,11,0
8,11,3,10,6,0
8,12,3,15,7,0
8,13,3,6,17,0
8,14,3,5,4,0
8,15,3,14,12,0
8,0,4,0,1,0
8,1,4,7,16,0
8,2,4,8,15,0
8,3,4,6,4,0
8,4,4,15,17,0
8,5,4,1,1,0
8,6,4,13,6,0
8,7,4,11,3,0
8,8,4,17,9,0
8,9,4,17,15,0
8,10,4,14,4,0
8,11,4,15,1,0
8,12,4,11,8,0
8,13,4,19,3,0
8,14,4,18,1,0
8,15,4,12,11,0
8,16,4,17,5,0
8,17,4,18,13,0
8,18,4,17,3,0
8,19,4,15,18,0
8,20,4,0,7,0
8,21,4,12,2,0
8,22,4,10,12,0
8,23,4,9,19,0
8,24,4,3,9,0
8,25,4,0,8,0
8,26,4,18,12,0
8,27,4,6,19,0
8,28,4,0,9,0
8,29,4,16,15,0
8,30,4,8,10,0
8,31,4,4,15,0
8,32,4,1,8,0
8,33,4,5,14,0
8,34,4,14,14,0
8,35,4,18,18,0
8,36,4,3,2,0
8,37,4,2,14,0
8,38,4,19,18,0
8,39,4,2,17,0
8,40,4,1,19,0
8,41,4,7,2,0
8,42,4,10,19,0
8,43,4,4,9,0
8,44,4,17,16,0
8,45,4,2,18,0
8,46,4,19,5,0
8,47,4,13,8,0
8,48,4,13,0,0
8,49,4,16,14,0
8,50,4,3,12,0
8,51,4,10,0,0
9,0,0,12,10,0
9,1,0,6,0,0
9,2,0,0,3,0
9,3,0,12,18,0
9,4,0,12,19,0
9,5,0,11,18,0
9,6,0,16,13,0
9,7,0,7,17,0
9,8,0,0,15,0
9,9,0,16,3,0
9,10,0,17,0,0
9,11,0,1,5,0
9,12,0,8,8,0
9,13,0,0,2,0
9,14,0,13,10,0
9,15,0,5,12,0
9,16,0,7,9,0
9,17,0,16,19,0
9,18,0,13,19,0
9,19,0,14,7,0
9,0,3,17,2,0
9,1,3,11,14,0
9,2,3,16,10,0
9,3,3,7,6,0
9,4,3,8,9,0
9,5,3,14,17,0
9,6,3,1,18,0
9,7,3,10,7,0
9,8,3,13,11,0
9,9,3,5,6,0
9,10,3,14,11,0
9,11,3,10,6,0
9,12,3,15,7,0
9,13,3,6,17,0
9,14,3,5,4,0
9,15,3,14,12,0
9,0,4,0,1,0
9,1,4,7,16,0
9,2,4,8,15,0
9,3,4,6,4,0
9,4,4,15,17,0
9,5,4,1,1,0
9,6,4,13,6,0
9,7,4,11,3,0
9,8,4,17,9,0
9,9,4,17,15,0
9,10,4,14,4,0
9,11,4,15,1,0
9,12,4,11,8,0
9,13,4,19,3,0
9,14,4,18,1,0
9,15,4,12,11,0
9,16,4,17,5,0
9,17,4,18,13,0
9,18,4,17,3,0
9,19,4,15,18,0
9,20,4,0,7,0
9,21,4,12,2,0
9,22,4,10,12,0
9,23,4,9,19,0
9,24,4,3,9,0
9,25,4,0,8,0
9,26,4,18,12,0
9,27,4,6,19,0
9,28,4,0,9,0
9,29,4,16,15,0
9,30,4,8,10,0
9,31,4,4,15,0
9,32,4,1,8,0
9,33,4,5,14,0
9,34,4,14,14,0
9,35,4,18,18,0
9,36,4,3,2,0
9,37,4,2,14,0
9,38,4,19,18,0
9,39,4,2,17,0
9,40,4,1,19,0
9,41,4,7,2,0
9,42,4,10,19,0
9,43,4,4,9,0
9,44,4,17,16,0
9,45,4,2,18,0
9,46,4,19,5,0
9,47,4,13,8,0
9,48,4,13,0,0
9,49,4,16,14,0
9,50,4,3,12,0
9,51,4,10,0,0
10,0,0,12,10,0
10,1,0,6,0,0
10,2,0,0,3,0
10,3,0,12,18,0
10,4,0,12,19,0
10,5,0,11,18,0
10,6,0,16,13,0
10,7,0,7,17,0
10,8,0,0,15,0
10,9,0,16,3,0
10,10,0,17,0,0
10,11,0,1,5,0
10,12,0,8,8,0
10,13,0,0,2,0
10,14,0,13,10,0
10,15,0,5,12,0
10,16,0,7,9,0
10,17,0,16,19,0
10,18,0,13,19,0
10,19,0,14,7,0
10,0,3,17,2,0
10,1,3,11,14,0
10,2,3,16,10,0
10,3,3,7,6,0
10,4,3,8,9,0
10,5,3,14,17,0
10,6,3,1,18,0
10,7,3,10,7,0
10,8,3,13,11,0
10,9,3,5,6,0
10,10,3,14,11,0
10,11,3,10,6,0
10,12,3,15,7,0
10,13,3,6,17,0
10,14,3,5,4,0
10,15,3,14,12,0
10,0,4,0,1,0
10,1,4,7,16,0
