tick,agent_id,agent_type,x,y,rank
2,20000156,5,3,29,1
2,20000157,5,11,39,1
2,20000158,5,15,25,1
2,20000159,5,10,34,1
2,20000160,5,17,28,1
2,20000161,5,14,24,1
2,20000162,5,9,38,1
2,20000163,5,7,20,1
2,20000164,5,15,26,1
2,20000165,5,8,39,1
2,20000166,5,7,25,1
2,20000167,5,4,36,1
2,20000168,5,4,32,1
2,20000169,5,14,32,1
2,20000170,5,8,27,1
2,20000171,5,2,28,1
2,20000172,5,9,27,1
2,20000173,5,19,29,1
2,20000174,5,7,24,1
2,20000175,5,2,31,1
2,20000176,5,11,32,1
2,20000177,5,5,37,1
2,20000178,5,3,34,1
2,20000179,5,1,32,1
2,20000180,5,5,25,1
2,20000181,5,6,35,1
2,20000182,5,10,21,1
2,20000183,5,17,39,1
2,20000184,5,10,35,1
2,20000185,5,1,30,1
2,20000186,5,16,32,1
2,20000187,5,11,20,1
1,30000088,5,33,1,2
1,30000089,5,36,3,2
1,30000090,5,21,9,2
1,30000091,5,22,13,2
1,30000092,5,39,18,2
1,30000093,5,38,17,2
1,30000094,5,24,15,2
1,30000095,5,25,1,2
1,30000096,5,35,19,2
1,30000097,5,36,12,2
1,30000098,5,39,1,2
1,30000099,5,22,5,2
1,30000100,5,21,12,2
1,30000101,5,20,7,2
1,30000102,5,30,8,2
1,30000103,5,31,16,2
1,30000104,5,37,16,2
1,30000105,5,35,10,2
1,30000106,5,31,15,2
1,30000107,5,29,8,2
1,30000108,5,36,19,2
1,30000109,5,27,12,2
1,30000110,5,20,19,2
1,30000111,5,36,0,2
1,30000112,5,27,17,2
1,30000113,5,32,11,2
1,30000114,5,22,14,2
1,30000115,5,32,3,2
1,30000116,5,29,10,2
1,30000117,5,31,5,2
1,30000118,5,30,2,2
1,30000119,5,31,0,2
1,30000120,5,20,18,2
1,30000121,5,36,13,2
1,30000122,5,29,4,2
1,30000123,5,28,5,2
1,30000124,5,23,9,2
1,30000125,5,30,16,2
1,30000126,5,22,19,2
1,30000127,5,22,18,2
1,30000128,5,32,4,2
1,30000129,5,28,12,2
1,30000130,5,32,7,2
1,30000131,5,27,13,2
1,30000132,5,32,1,2
1,30000133,5,34,9,2
1,30000134,5,36,11,2
1,30000135,5,30,12,2
1,30000136,5,26,17,2
1,30000137,5,34,4,2
1,30000138,5,37,3,2
1,30000139,5,38,7,2
1,30000140,5,27,11,2
1,30000141,5,36,14,2
1,30000142,5,27,19,2
1,30000143,5,35,5,2
1,30000144,5,24,5,2
1,30000145,5,31,8,2
1,30000146,5,29,5,2
1,30000147,5,37,13,2
1,30000148,5,21,19,2
1,30000149,5,20,3,2
1,30000150,5,23,10,2
1,30000151,5,31,18,2
1,30000152,5,24,14,2
1,30000153,5,28,17,2
1,30000154,5,36,2,2
1,30000155,5,25,3,2
1,30000156,5,23,1,2
1,30000157,5,36,16,2
1,30000158,5,28,19,2
1,30000159,5,35,0,2
1,30000160,5,33,15,2
1,30000161,5,33,14,2
1,30000162,5,30,18,2
1,30000163,5,39,5,2
1,30000164,5,25,14,2
1,30000165,5,24,4,2
1,30000166,5,23,14,2
