tick,agent_id,agent_type,x,y
2,20000228,1,5,28
2,20000229,1,6,28
2,20000230,1,1,27
2,20000231,1,3,27
2,20000232,1,1,26
2,20000233,1,3,26
2,20000234,1,1,25
2,20000235,1,2,25
2,20000236,1,3,25
2,20000237,1,8,39
2,20000238,1,10,39
2,20000239,1,8,38
2,20000240,1,10,38
2,20000241,1,8,29
2,20000242,1,8,28
2,20000243,1,6,27
2,20000244,1,7,27
2,20000245,1,8,27
2,20000246,1,3,31
2,20000247,1,5,31
2,20000248,1,3,30
2,20000249,1,3,29
2,20000250,1,4,29
2,20000251,1,1,35
2,20000252,1,1,34
2,20000253,1,4,28
2,20000254,1,1,39
2,20000255,1,3,39
2,20000256,1,2,38
2,20000257,1,3,38
2,20000258,1,18,22
2,20000259,1,19,22
2,20000260,1,20,22
2,20000261,1,18,21
2,20000262,1,20,21
2,20000263,1,19,20
2,20000264,1,20,20
2,20000265,1,6,31
2,20000266,1,4,35
2,20000267,1,5,35
2,20000268,1,6,35
2,20000269,1,4,34
2,20000270,1,6,34
2,20000271,1,4,33
2,20000272,1,5,33
2,20000273,1,6,33
2,20000274,1,5,39
2,20000275,1,7,39
2,20000276,1,5,38
2,20000277,1,6,38
2,20000278,1,7,38
2,30000188,1,24,3
2,30000189,1,26,3
2,30000190,1,24,2
2,30000191,1,26,2
2,30000192,1,24,1
2,30000193,1,26,1
2,30000194,1,27,17
2,30000195,1,27,16
2,30000196,1,27,15
2,30000197,1,28,15
2,30000198,1,29,15
2,30000199,1,20,7
2,30000200,1,21,7
2,30000201,1,22,7
2,30000202,1,20,6
2,30000203,1,22,6
2,30000204,1,21,5
2,30000205,1,22,5
2,30000206,1,35,15
2,30000207,1,35,14
2,30000208,1,37,14
2,30000209,1,35,13
2,30000210,1,36,13
2,30000211,1,22,18
2,30000212,1,23,18
2,30000213,1,24,18
2,30000214,1,22,17
2,30000215,1,24,17
2,30000216,1,22,16
2,30000217,1,23,16
2,30000218,1,24,16
2,30000219,1,30,6
2,30000220,1,31,6
2,30000221,1,30,5
2,30000222,1,32,5
2,30000223,1,31,4
2,30000224,1,32,4
2,30000225,1,32,7
2,30000226,1,33,7
2,30000227,1,34,6
2,30000228,1,33,5
2,30000229,1,34,5
2,30000230,1,24,4
2,30000231,1,25,4
2,30000232,1,26,4
2,30000233,1,27,14
2,30000234,1,28,14
2,30000235,1,29,14
2,30000236,1,27,13
2,30000237,1,29,13
2,30000238,1,27,12
2,30000239,1,29,12
2,30000240,1,37,9
2,30000241,1,38,9
2,30000242,1,39,9
2,30000243,1,37,8
2,30000244,1,39,8
2,30000245,1,37,7
2,30000246,1,38,7
2,30000247,1,31,19
2,30000248,1,32,19
2,30000249,1,31,18
2,30000250,1,31,17
2,30000251,1,32,17
2,30000252,1,33,17
2,30000253,1,38,14
2,30000254,1,38,13
2,30000255,1,36,12
2,30000256,1,38,12
2,30000257,1,28,1
2,30000258,1,25,7
2,30000259,1,26,7
2,30000260,1,27,7
2,30000261,1,27,6
2,30000262,1,25,5
2,30000263,1,26,5
2,30000264,1,27,5
2,30000265,1,31,14
2,30000266,1,31,13
2,30000267,1,30,12
2,30000268,1,36,16
2,30000269,1,38,16
2,30000270,1,38,15
2,30000271,1,25,19
2,30000272,1,26,19
2,30000273,1,27,19
2,30000274,1,25,18
2,30000275,1,27,18
2,30000276,1,26,17
2,30000277,1,24,10
2,30000278,1,25,10
2,30000279,1,23,9
2,30000280,1,23,8
2,30000281,1,25,8
2,30000282,1,32,15
2,30000283,1,33,15
2,30000284,1,34,15
2,30000285,1,32,14
2,30000286,1,34,14
2,30000287,1,32,13
2,30000288,1,33,13
2,30000289,1,34,13
2,30000290,1,28,3
2,30000291,1,30,3
2,30000292,1,28,2
2,30000293,1,29,1
