tick,agent_id,agent_type,x,y,rank
1,1000170,5,10,3,0
1,1000171,5,5,19,0
1,1000172,5,12,9,0
1,1000173,5,16,16,0
1,1000174,5,8,12,0
1,1000175,5,15,13,0
1,1000176,5,9,18,0
1,1000177,5,17,1,0
1,1000178,5,10,16,0
1,1000179,5,1,7,0
1,1000180,5,7,15,0
1,1000181,5,2,9,0
1,1000182,5,19,1,0
1,1000183,5,6,15,0
1,1000184,5,19,15,0
1,1000185,5,12,15,0
1,1000186,5,8,7,0
1,1000187,5,18,8,0
1,2000088,5,5,26,1
1,2000089,5,19,30,1
1,2000090,5,15,39,1
1,2000091,5,1,24,1
1,2000092,5,2,25,1
1,2000093,5,17,25,1
1,2000094,5,18,35,1
1,2000095,5,3,33,1
1,2000096,5,15,22,1
1,2000097,5,1,28,1
1,2000098,5,11,29,1
1,2000099,5,9,36,1
1,2000100,5,13,34,1
1,2000101,5,5,28,1
1,2000102,5,2,22,1
1,2000103,5,0,24,1
1,2000104,5,8,25,1
1,2000105,5,3,26,1
1,2000106,5,14,26,1
1,2000107,5,18,31,1
1,2000108,5,17,35,1
1,2000109,5,3,35,1
1,2000110,5,14,35,1
1,2000111,5,14,31,1
1,2000112,5,6,38,1
1,2000113,5,19,33,1
1,2000114,5,7,30,1
1,2000115,5,11,21,1
1,2000116,5,1,29,1
1,2000117,5,11,24,1
1,2000118,5,18,30,1
1,2000119,5,5,35,1
1,2000120,5,15,30,1
1,2000121,5,18,22,1
1,2000122,5,1,39,1
1,2000123,5,9,28,1
1,2000124,5,14,25,1
1,2000125,5,12,36,1
1,2000126,5,16,22,1
1,2000127,5,19,34,1
1,2000128,5,13,23,1
1,2000129,5,18,27,1
1,2000130,5,0,32,1
1,2000131,5,16,33,1
1,2000132,5,10,26,1
1,2000133,5,13,38,1
1,2000134,5,19,24,1
1,2000135,5,0,39,1
1,2000136,5,16,27,1
1,2000137,5,17,32,1
1,2000138,5,12,27,1
1,2000139,5,6,27,1
1,2000140,5,0,20,1
1,2000141,5,3,29,1
1,2000142,5,11,39,1
1,2000143,5,15,25,1
1,2000144,5,10,34,1
1,2000145,5,14,24,1
1,2000146,5,7,20,1
1,2000147,5,8,39,1
1,2000148,5,7,25,1
1,2000149,5,4,36,1
1,2000150,5,4,32,1
1,2000151,5,14,32,1
1,2000152,5,8,27,1
1,2000153,5,2,28,1
1,2000154,5,9,27,1
1,2000155,5,19,29,1
1,2000156,5,7,24,1
1,2000157,5,2,31,1
1,2000158,5,11,32,1
1,2000159,5,5,37,1
1,2000160,5,3,34,1
1,2000161,5,1,32,1
1,2000162,5,5,25,1
1,2000163,5,6,35,1
1,2000164,5,10,21,1
1,2000165,5,17,39,1
1,2000166,5,1,30,1
1,2000167,5,11,20,1
1,2000168,5,18,23,1
1,2000169,5,7,33,1
1,2000170,5,9,31,1
1,2000171,5,11,23,1
1,2000172,5,16,23,1
1,2000173,5,14,22,1
1,2000174,5,14,34,1
1,2000175,5,8,22,1
1,2000176,5,8,23,1
1,2000177,5,5,39,1
1,2000178,5,4,35,1
1,2000179,5,6,33,1
1,2000180,5,13,36,1
1,2000181,5,7,38,1
1,2000182,5,3,21,1
1,2000183,5,0,25,1
1,2000184,5,13,25,1
1,2000185,5,12,21,1
1,2000186,5,16,34,1
1,2000187,5,9,20,1
1,3000088,5,33,1,2
1,3000089,5,36,3,2
1,3000090,5,21,9,2
1,3000091,5,39,18,2
1,3000092,5,38,17,2
1,3000093,5,24,15,2
1,3000094,5,35,19,2
1,3000095,5,36,12,2
1,3000096,5,39,1,2
1,3000097,5,22,5,2
1,3000098,5,21,12,2
1,3000099,5,20,7,2
1,3000100,5,30,8,2
1,3000101,5,31,16,2
1,3000102,5,31,15,2
1,3000103,5,36,19,2
1,3000104,5,27,12,2
1,3000105,5,20,19,2
1,3000106,5,36,0,2
1,3000107,5,27,17,2
1,3000108,5,32,11,2
1,3000109,5,22,14,2
1,3000110,5,32,3,2
1,3000111,5,29,10,2
1,3000112,5,31,0,2
1,3000113,5,20,18,2
