agent_id,agent_type_initial,x_initial,y_initial,agent_type_updated,x_updated,y_updated,status
30000075,,,,4,25,6,NEW
30000076,,,,4,24,0,NEW
30000077,,,,4,34,7,NEW
30000078,,,,4,39,7,NEW
30000079,,,,4,32,0,NEW
30000080,,,,4,37,2,NEW
30000081,,,,4,35,6,NEW
30000082,,,,4,25,12,NEW
30000083,,,,4,33,18,NEW
30000084,,,,4,29,19,NEW
30000085,,,,4,25,1,NEW
30000086,,,,4,33,4,NEW
30000087,,,,4,39,15,NEW
40000000,,,,0,21,23,NEW
40000001,,,,0,23,36,NEW
40000002,,,,0,31,20,NEW
40000003,,,,0,26,28,NEW
40000004,,,,0,29,25,NEW
40000005,,,,0,33,34,NEW
40000006,,,,0,22,29,NEW
40000007,,,,0,37,30,NEW
40000008,,,,0,28,33,NEW
40000009,,,,0,23,34,NEW
40000010,,,,0,39,35,NEW
40000011,,,,0,26,32,NEW
40000012,,,,0,33,37,NEW
40000013,,,,0,38,20,NEW
40000014,,,,0,39,38,NEW
40000015,,,,0,22,26,NEW
40000016,,,,0,37,33,NEW
40000017,,,,0,24,29,NEW
40000018,,,,0,35,29,NEW
40000019,,,,0,25,34,NEW
40000020,,,,3,30,27,NEW
40000021,,,,3,25,21,NEW
40000022,,,,3,32,33,NEW
40000023,,,,3,30,38,NEW
40000024,,,,3,38,24,NEW
40000025,,,,3,32,32,NEW
40000026,,,,3,24,25,NEW
40000027,,,,3,29,34,NEW
40000028,,,,3,33,24,NEW
40000029,,,,3,27,36,NEW
40000030,,,,3,36,33,NEW
40000031,,,,3,20,33,NEW
40000032,,,,3,24,36,NEW
40000033,,,,3,38,28,NEW
40000034,,,,3,26,37,NEW
40000035,,,,3,27,22,NEW
40000036,,,,4,31,36,NEW
40000037,,,,4,33,27,NEW
40000038,,,,4,38,29,NEW
40000039,,,,4,24,33,NEW
40000040,,,,4,35,25,NEW
40000041,,,,4,32,37,NEW
40000042,,,,4,22,25,NEW
40000043,,,,4,30,31,NEW
40000044,,,,4,27,27,NEW
40000045,,,,4,22,32,NEW
40000046,,,,4,38,23,NEW
40000047,,,,4,35,23,NEW
40000048,,,,4,20,34,NEW
40000049,,,,4,23,35,NEW
40000050,,,,4,26,31,NEW
40000051,,,,4,38,38,NEW
40000052,,,,4,29,24,NEW
40000053,,,,4,25,37,NEW
40000054,,,,4,31,23,NEW
40000055,,,,4,37,39,NEW
40000056,,,,4,39,32,NEW
40000057,,,,4,30,39,NEW
40000058,,,,4,32,35,NEW
40000059,,,,4,26,35,NEW
40000060,,,,4,39,21,NEW
40000061,,,,4,21,21,NEW
40000062,,,,4,25,23,NEW
40000063,,,,4,34,24,NEW
40000064,,,,4,29,22,NEW
40000065,,,,4,21,25,NEW
40000066,,,,4,28,29,NEW
40000067,,,,4,26,36,NEW
40000068,,,,4,31,39,NEW
40000069,,,,4,38,34,NEW
40000070,,,,4,20,24,NEW
40000071,,,,4,34,30,NEW
40000072,,,,4,36,21,NEW
40000073,,,,4,25,33,NEW
40000074,,,,4,32,27,NEW
40000075,,,,4,23,31,NEW
40000076,,,,4,21,33,NEW
40000077,,,,4,21,30,NEW
40000078,,,,4,33,23,NEW
40000079,,,,4,20,29,NEW
40000080,,,,4,32,22,NEW
40000081,,,,4,39,30,NEW
40000082,,,,4,34,35,NEW
40000083,,,,4,29,27,NEW
40000084,,,,4,33,20,NEW
40000085,,,,4,32,30,NEW
40000086,,,,4,22,24,NEW
40000087,,,,4,39,27,NEW
